Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
NAP,0,0,0,0,0,0,1,0,0,5
NAZ,0,0,0,0,0,1,0,0,0,4
NB,0,0,0,0,0,0,1,0,0,4
NE,0,0,0,0,0,0,1,0,0,4
NF,0,0,0,1,0,1,0,0,0,3
NGC,0,1,0,0,0,1,0,0,0,5
NGL,0,0,0,0,0,0,1,0,0,4
NH,0,0,0,1,0,0,0,0,0,5
NJ,0,0,0,1,0,0,0,0,0,3
NK,0,1,0,1,0,1,1,0,0,0
NL,1,1,0,0,0,1,0,0,0,1
NM,0,0,0,1,0,0,1,0,0,5
NMA,0,0,0,1,0,0,0,0,0,5
NMAA,0,0,1,1,0,0,1,0,0,5
NMF,0,0,0,0,0,1,0,0,0,4
NN,0,1,1,0,0,1,0,0,0,5
NNJ,0,0,0,1,0,0,0,0,0,5
NR,0,0,1,1,0,0,1,0,0,3
NS,1,0,1,0,0,1,1,0,0,0
NSA,0,1,0,0,0,1,1,0,0,5
NSF,0,0,1,0,0,0,0,0,0,4
NSW,1,0,0,0,0,0,0,0,0,5
NT,0,0,0,1,0,0,1,0,0,3
NTB,1,0,0,0,0,0,0,0,0,5
NY,0,0,0,0,0,1,1,0,0,3
NZ,0,1,0,0,0,1,1,0,0,3
NZA,0,0,0,0,0,0,1,0,0,4
NZR,0,0,0,0,0,0,1,0,0,5
OA,0,0,0,0,0,0,1,0,0,4
OG,0,0,0,0,0,1,0,0,0,5
OH,1,0,0,0,0,1,0,0,0,5
OSA,0,0,0,0,0,1,0,0,0,4
OSAA,0,0,0,0,0,1,0,0,0,4
PA,0,0,0,0,0,0,1,0,0,3
PAS,0,1,0,0,0,1,0,0,0,5
PK,0,1,0,0,0,1,0,0,0,5
PS,0,0,0,0,0,1,0,0,0,5
Q,0,0,0,0,0,1,0,0,0,4
QA,0,0,0,0,0,1,1,0,0,4
QAY,0,0,0,0,0,0,1,0,0,5
QE,0,0,0,0,0,1,0,0,0,5
QF,0,0,0,0,0,1,0,0,0,4
QH,0,0,0,1,0,0,1,0,0,1
QK,0,0,1,0,0,1,0,0,0,4
QN,0,0,0,0,0,0,1,0,0,5
QSM,0,0,0,0,0,0,1,0,0,4
RA,1,1,1,0,1,1,1,0,0,2
RAA,1,0,0,0,0,1,0,0,0,5
RAK,0,0,0,0,0,0,1,0,0,5
RAM,0,0,0,0,0,1,0,0,0,5
RAR,0,0,0,0,0,0,1,0,0,5
RAS,0,0,0,0,0,1,1,0,0,5
RB,0,0,0,0,0,1,1,0,0,4
RBA,0,0,0,1,0,0,0,0,0,5
RC,0,0,0,0,0,0,1,0,0,4
RD,0,0,0,1,0,0,1,0,0,1
RDK,0,0,0,0,0,1,0,0,0,5
RE,0,0,0,0,0,1,0,0,0,4
RF,0,0,0,0,0,1,1,0,0,3
RFA,0,0,0,0,0,1,0,0,0,5
RFB,0,0,0,0,0,0,1,0,0,5
RFR,0,0,0,0,0,0,1,0,0,4
RG,0,0,0,0,0,1,0,0,0,4
RH,0,0,0,1,0,1,1,0,0,1
RHR,0,0,0,0,0,1,0,0,0,5
RI,0,0,0,0,0,1,0,0,0,5
RK,0,0,0,1,0,1,1,0,0,0
RKH,0,0,0,0,0,1,0,0,0,5
RL,0,0,0,0,0,1,0,0,0,4
RM,0,1,0,0,0,1,1,0,0,0
RMA,0,0,0,0,0,0,1,0,0,4
RMS,0,0,0,0,0,0,1,0,0,5
RN,0,0,1,0,0,1,1,0,0,0
