NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
332;MHF;330000;3;250;180;127.279;0.01;0.01;0.345;0.247;0.263
333;MHNI;380000;1;328;0;0;0.012;0;0.452;0;0
334;MHP;200000;1;104;0;0;0.006;0;0.143;0;0
335;MHW;240000;1;331;0;0;0.007;0;0.457;0;0
336;MI;321250;4;73;530;147.358;0.01;0.014;0.101;0.728;0.305
337;MIA;265000;4;26;509;244.999;0.008;0.014;0.036;0.699;0.507
338;MJ;5313333.333;3;462;154;69.296;0.177;0.01;0.637;0.212;0.143
339;MJA;247500;4;148;104;60.044;0.008;0.014;0.204;0.143;0.124
340;MK;295000;7;39;642;156.516;0.009;0.029;0.054;0.882;0.324
341;MKA;380000;1;471;0;0;0.012;0;0.65;0;0
342;MKF;273333.333;3;415;0;0;0.008;0.01;0.572;0;0
343;ML;221666.667;6;12;592;126.338;0.007;0.024;0.017;0.813;0.261
344;MLH;170000;1;321;0;0;0.005;0;0.443;0;0
345;MLP;170000;2;232;18;0;0.005;0.005;0.32;0.025;0
346;MLR;170000;1;305;0;0;0.005;0;0.421;0;0
347;MM;90000;1;638;0;0;0.002;0;0.88;0;0
348;MN;461666.667;6;93;597;79.896;0.015;0.024;0.128;0.82;0.165
349;MNH;730000;1;89;0;0;0.024;0;0.123;0;0
350;MNM;222500;4;103;616;181.539;0.007;0.014;0.142;0.846;0.375
351;MNS;380000;1;45;0;0;0.012;0;0.062;0;0
352;MO;373333.333;3;44;69;4.95;0.012;0.01;0.061;0.095;0.01
353;MOZ;225000;1;197;0;0;0.007;0;0.272;0;0
354;MP;180000;2;64;589;0;0.005;0.005;0.088;0.809;0
355;MQ;263333.333;3;428;205;126.572;0.008;0.01;0.59;0.282;0.262
356;MR;260845.07;71;7;718;17.311;0.008;0.338;0.01;0.986;0.036
357;MRA;380000;1;237;0;0;0.012;0;0.327;0;0
358;MRAF;80000;1;69;0;0;0.002;0;0.095;0;0
359;MRB;380000;1;368;0;0;0.012;0;0.508;0;0
360;MRF;380000;1;410;0;0;0.012;0;0.566;0;0
361;MRH;380000;1;108;0;0;0.012;0;0.149;0;0
362;MRM;385000;2;191;0;0;0.012;0.005;0.263;0;0
363;MRN;380000;1;104;0;0;0.012;0;0.143;0;0
364;MRW;730000;1;383;0;0;0.024;0;0.528;0;0
365;MS;198846.154;26;23;685;21.552;0.006;0.121;0.032;0.941;0.045
366;MSH;170000;1;356;0;0;0.005;0;0.491;0;0
367;MSI;170000;1;311;0;0;0.005;0;0.429;0;0
368;MSM;222500;4;329;109;20.033;0.007;0.014;0.454;0.15;0.041
369;MSMM;170000;5;197;175;17.076;0.005;0.019;0.272;0.24;0.035
370;MSO;365000;2;54;0;0;0.012;0.005;0.074;0;0
371;MSPA;47500;2;115;225;0;0.001;0.005;0.159;0.309;0
